【泰国女同性恋爱情片《yes or no 2》DVD高清中文字幕版终于来了！！！】爱，不爱，不再隐瞒。中文字幕，终于可以看懂了，速度转发分享吧！！！http://t.cn/zj6PZt6 （转）,1
“爆乳女神”长枪短炮争相闪烁啊,0
哇，热闹 //@薛蛮子: 太热闹了！@蛮子文摘 要评2012年度最什么来着？ //@Happy张江:据原博所述，渣打银行的男小三，使英国石油的MBA老公成了性无能[黑线] //@魔根大葱: 真是剧情大逆转啊！一位24岁的男小三和一位结婚十余年的30几岁少妇的 床事。,0
好喜欢陈意涵啊...其他的。。。。,1
【猴姆独家】不错！Ellie Goulding深情献唱fun.乐队冠单Some Nights！fun.演绎的是各种拐调，Ellie则是实实在在的绵羊音，纯天然哦！[江南style]http://t.cn/zjXfVME @优酷网 @优酷音乐 @EllieGoulding中国歌迷会,1
//@陈海津: //@F伯爵: 库哈斯认为它是纽约市的一块地毯：“它的湖是人工的，它的树是移植的，它的命运是被安排的……”，而如今看来它更像是块“躺着的纪念碑”，城市的、非城市的，建成的、永远不会被建成的……,0
MAMO唱的当BGM感觉更虐了QAQ！！//@杨哥哥求福神附体: 艾玛这个！！！！！//@行尸小黑: 猴哥虐我千万次....,0
顶你个肺，食乜嘢大嘎？！[吃惊][馋嘴],-1
震撼！ 看NBA球星是如何训练的，这就是我们的差距  #虎扑视频# http://t.cn/zW9xJzL 更多视频请点击： http://t.cn/zO9rtJl,1
萨福克，英国古代小径。在这条宁静的路上，走着走着就忘了全世界。,0
20121210華鼎獎~~演唱【流戀】[鼓掌][鼓掌]http://t.cn/zj6Wp40,1
#兰博基尼实拍# 洛杉矶实拍性感宝蓝色Lamborghini Aventador Roadster,0
今天TVB攪盆菜宴，大家食得好開心呀！[耶][耶][耶]#陳豪# @黎耀祥Wayne @岑杏賢_Jennifer @Tracy朱千雪 #徐子珊# @曾志偉獎門人,1
[骷髅]你好//@减肥知识大百科,0
《水果硬糖》两位主演、一间房间，仅18天就拍完，但精湛的演技，一场心理暴力的游戏，好戏怎能错过。美国R级，年龄不够的童鞋勿点。http://t.cn/zjJanZ8,1
【奥斯卡最佳动画短片《商标的世界》】: 简直是奥斯卡最具创意的短片，短短的15分钟出现了3000多个著名公司的logo，讲述了正义而暴力的米其林轮胎人大战邪恶的麦当劳大叔的荒谬故事，最后简直就是灾难大片啊 ，很好很强大 ，绝对精彩，不要错过哦！！！http://t.cn/zjJBSKZ,1
12.12.09 江苏跨年演唱会新闻发布会in重庆 @叶依旧嫩绿TvT 鹿晗真是各种懵呀，各种小动作！,0
【BBC纪录片《时间》】时间创造了诞生和死亡，创造了幸福和痛苦，创造了平静和动荡，创造了可以被叙述的故事，也创造了你我❤1：http://t.cn/a0If12 2：http://t.cn/Sb6kHf 3：http://t.cn/zjiyiyd 4：http://t.cn/aWhLEf [微时尚精品帐号][咖啡]不断探索未知，请关注@Discovery纪录片,0
正确使用面膜的7个步骤很关键 [害羞] @教您学化妆,0
林峰经典歌曲连唱。。。好好听啊[花心]！！,1
121130 MAMA颁奖典礼独家自拍#李东海#第六波 5P ~ 抓住辣只喵咪！！！[lxhx奔跑] [ 拍摄:@金阿比 感谢拍摄 [玫瑰] ] 转载请注明www.onlyhae.com 更多图片:http://t.cn/zjXVrEj,0
每一个亮相从最初就是最认真的瞬间，不管你用了多久的时间记下他们的名字和脸庞，他们的每一个舞台都是为让Super Junior更闪耀！《You Are The One》温馨开场，满满的都是甜的记忆。[乐乐] http://t.cn/agJ3ZJ  ,1
这日期碉堡了.... 有Mtv和咖啡陪伴 就算挂也挂的比较文艺[咖啡][音乐][haha],1
应该是V576[挖鼻屎]//@厶00欣:矮油，我就是手滑。。//@幸运妖蝶:[吃惊][吃惊] 偶也手滑[哈哈]//@慕容晓妹: 继续手滑！[哈哈]//@哇暧初次:系统自动转发,0
谢谢爱特 饭们在下面喊你 双手作揖打招呼的样子太可爱~ #与你同在守护tao# //@BEATRIZJany: @桃花源WithTao_黄子韬中文个站,1
第一张真的是切糕？？这个帽子不是说是哪个国家的民族帽子吗？国外也有切糕？？？//@索然无味暴躁金: 儿纸好有钱，能买得起这么大的切糕,0
单眼皮大眼妆,0
泰国女同纯爱电影《yes or no 2》DVD高清中文字幕版终于来了！！速速扩散！,0
东方神起 - Humanoids 霸气舞蹈练习室版，帅！,1
2003年威尼斯电影节最高荣誉金狮奖的作品《回归》，“我沒有將它看作是每天常见的故事，或者一個社会性的題材。它不是简单的父子情，很大程度上，它从一个神话化的角度去看人生。电影里所有的事情都有它的意义。” http://t.cn/zlaWxyy,0
大家心目中的人选都是谁呢？,0
正在台北进行的金马奖现场众星云集，电影《那些年，我们一起追的女孩》男主角 @柯震東Kai 与热门电影 @寒战2012 男主角 @彭于晏 都选择了穿着GUCCI出席，一个清新，一个阳光好难选择谁帅，你说怎么办呢？ @震東心弦-柯震東國際後援會 @震東心弦-柯震東四川分會 @于晏往返彭于晏后援会 @安妮hautelab,1
我们都是大学生，可他们却和我们不一样，我们想去做，而他们已经做了......榜样的力量【清华最帅工科男感人视频】清华人眼中的大学是什么样子的？工科男真的不解风情？典型清华工科男，为你讲述他们的农村支教经历，给孩子带去希望。这是清华近期最感人的视频，没有之一！！！http://t.cn/zOBamLH,1
你最爱的是哪个版本？,1
视力表！我阵亡在第四关！[晕]「转内容源于网络」,0
呜呜北鼻萌我一脸血(´･_･`) //@囧妈爱韩庚://@哈迪爱韩庚: 白毛不做造型的时候实在太萌了[爱你]//@莲心菜: 呀，原来还有一个大变活人的魔术的吗？//@韩庚-是我家的: //@隐身看不到胖胖:排练的时候穿的好萌！！！//@想爸妈的74: //@优时: //@笑笑龙年万事大吉: //@我是鬼鬼嘟嘟:啊啊啊,1
【改变自己的50种方法】有时间读一遍，让自己变得更优秀！@实用小百科（转）,1
大学生讲述第一次做鸭子的感受，Oh my god ！真惊了！[哈哈] http://t.cn/zlXp4Pw,1
王晶新版“古惑仔”《古惑仔：江湖新秩序》首支预告片,0
《生活大爆炸》主角们眼中的对方……[哈哈]（@Fishingsnow）,1
【HR技巧贴：12种面试的提问方式】HR、尤其是招聘HR必知技巧，有用就转走~~~,0
我也不懂。。//@卅左卌右: 略不懂......@ArcobalenoCiao,0
【学习帖】简单实用的咖啡分类图，下次去咖啡店就不会被菜单迷惑住啦，赶紧转走吧！ ,0
授奖词同样很犀利，值得一看！品位深思。。。,1
【夫妻协议】 以后结婚了我就签这个，保证不离婚 ！！！（很霸道，很温馨）,1
好诱人的柚子茶！[馋嘴],1
这些歌曲替我陪着你 [音乐] @最暖心的音乐,1
对手被耍蒙了！乔丹超屌单手抓球戏耍对手合集 #虎扑视频# http://t.cn/zWshd6b  更多视频请点击： http://t.cn/zO9rtJl,1
又唱出来了~ //@粽粽粽粽粽粽粽:虽然以前看过了哈哈哈哈哈//@相思君: 哈哈哈哈哈哈哈,0
お,0
大家心目中的人选都是谁呢？,0
"今年夏天,除了大包,你更应该拥有一个迷你包。[迷你包]更多→  http://t.cn/zOkySF9",0
60s韩式扎发，8种造型轻松扎,0
如果下回有人再问NBA有什么好看的，就把这个视频扔给他！56分钟超长篇NBA历史百大表演一次看个够！[给力][给力]http://t.cn/zWnGfGd,1
//@时尚许文强2011: 给力//@血滴子:临时登上央视，还没有心理准备。在紧张和兴奋中，只能说：谢谢大家！谢谢cctv！最重要的是谢谢支持我们的每一位影迷朋友，12月20日，我们首映见！（这套感谢词是不是有些耳熟）,0
"HAIM的新MV再转一次,BBC Sound of 2013入围乐队,在Luv_DC's Top 20也有入榜喔~[爱你]",1
【良好沟通的5条建议】1. 简洁：给他人表达意见的时间；2. 有重点：不要只为说话而说话，沟通前有一个明确的重点；3. 不要讲太多关键点：最好只有少量关键点并全方位说明；4. 利用可与他人产生共鸣的词或比喻：根据对方特点选择表达方式；5. 多听：与沟通者良性互动。英文全文：http://t.cn/zjXtDjM,0
重温。。。。。。。。,0
愛你啊寶貝>3<//@skullqueenie: 终于有原视频咯[抓沙发][好得意]@勤勤啾啾Hongstar @Ta家古月honey如ai弘言 @酱紫好吃丶PRI_小柯 @skull-Myrna豆豆 @wxy_唯ft //@Pri李弘基: 啊~又来新的，我喜欢啊！[花心],1
"我最喜爱的事情http://t.cn/hp8Eb 6分钟 让你回到童话,体味纯真.美,好美的境界",1
太实用了，收藏！[赞],0
wow'''现在才搞个活动会不会太奢侈'' 幸运儿会由公共平台抽出~,0
【背光照】修复黑乎乎的背光照！超实用的哦！快点开大图学习吧~~~#美图秀秀小技巧#,1
有时候觉得自己像个神经病 既纠结了自己 又打扰了别人,-1
转：三样东西一去不返：时间、言辞和机会；三样东西足以毁掉一个人：怒气、骄傲和不宽恕；三样东西永不应放弃：平和、诚实和希望；三样东西最无价：爱、善良和亲友；三样东西最无常：成功、财富和梦想；三样东西成就一个人：真诚、承诺和勤奋；三样东西最神圣：父母、孩子和信仰。,0
主演首部泰国片《爱无7限》终于来了 ~！围绕在「7」与其倍数，集合泰国影坛坚强卡司，演绎3段让人刻骨铭心的爱情故事，并由3位泰国知名导演执导，3人3色，无比精彩！泰国小清新，爱真美好，充满各种正能量，看起来囖http://t.cn/zjxm7Qv,1
121208 我们结婚了 全场中字 http://t.cn/zjXzwzw,0
转发,0
#电影# 《蒂莫西的奇异生活》 这世上有这样一些孩子，他们教会父母怎样做父母。,0
外国小青年创作的《拖延症之歌》，字字血泪地控诉了拖延症对学习、对生活、对减肥、对工作带来的毁灭性影响。看完感觉膝盖好痛 _(:з」∠)_ （via：谷大白话 译）http://t.cn/zjXfcOV,-1
转发,0
转发微博,0
【动画片：《人性》】http://t.cn/zOa7tDV,0
女人学嘢，男人睇嘢[挖鼻屎],0
//@perolyn: 不错收了 //@可能是小熊: 学习氛围很浓厚的刚//@七肱紸: 学习下,0
【2012泰国最新恐怖片《监尸器》】本片的架构和《鬼4虐》一致，由三个独立故事构成，由《幽灵人间》《第11层天堂》《第8层地狱》三个独立故事构成而故事情节对准了双胞胎姐妹、便利店超市以及大厦电梯，这些都是恐怖故事的高发地带……[恐怖]  http://t.cn/zjXvod9,0
高分电影《余生的第一天》从配乐到故事，都能让你有所触动的好片子，博主强烈推荐，你会从中获得到你所需要的能量。（转）http://t.cn/h4rdSv,1
真的超好看~推荐给大家！ps：配乐绝对是享受！！,1
让大姨妈准时来的健康办法，受大姨妈不调困扰的菇凉可以尝试下哦~详情点击→http://t.cn/zjcaFzj,0
#读书笔记# 桑德拉·希斯内罗丝，《芒果街上的小屋》：“我离开是为了回来。为了那些我留在身后的人。为了那些无法出去的人。”,0
还珠格格美国热播！！！英语版还珠格格...这配音好蛋疼啊好蛋疼啊好蛋疼啊好蛋疼啊！！！ http://t.cn/zjXPsn3 (转),0
