【简单四句话让你受益终身】① 不要盘算太多，要顺其自然，该是你的终会得到。② 压抑自己没必要，奉承巴结也没必要；保持应有的人格力量将赢得更多机会和尊重。③ 不要对谁特别好，也不要对谁特别不好，永远不要被少数人所利用。④ 相信自己比依赖别人重要，用尽心机不如静心做事。,0
Never give up hope! //“2013年6月30日 无论多么艰难”——网易云阅读订阅源《每日一图精选》。 http://t.cn/zHs73uN,0
我在@国美在线 #国人最红#活动中发现一个非常不错的商品：[国美独家][终极性价比机皇压轴登场]联想G470AL 14.0英寸笔记本电脑（i3-2370M 2G 500G 1G独显 摄像头 DVD刻录 Linux） 国人红价：￥2699.00 感觉不错，分享一下：http://t.cn/zHlOxF8,1
”这是能看见你心中所爱的药，我这有两粒，你们服下试试。”老人说着给了他和她一人一粒。他们分别服下，然后看着对方等待结果。时间过去很久， ”什么嘛！根本是骗小孩子的嘛！”她嘟嘴一个人走开了他在后面看着她，默默追了上去。老人看着他们的背影缓缓地笑了。[你说没有变化，便是最完美的答案。],1
【后期处理】如今的摄影照片80%都经过ps（photoshop）处理，通过处理后可以将画面视觉冲击达到前所未有的效果，如图我们将一张照片处理成机器人，通过细节处理欣赏的目光会从长相转移到其他细节上，摄影的精华在于去尝试别人不敢做的事尝试不同的角度去拍摄更完美的画面。,0
silver ling 一线之光,0
【心理现象】与一位陌生女性初次见面，如果夸赞她身上的服装饰物，那她会迅速对你展露出真诚甜美的笑容，接下来的谈话也会融洽很多。所以，贬低一个女人的衣服鞋帽整套行头，无疑是把她之前所有的工作全盘的加以了否定。谁都不喜欢被否定感，尤其是女人。如果你不能肯定她，至少不要否定她。,0
【生日祝福】2011年一首《为爱痴狂》让金志文这个名字家喻户晓。如今一年过去了。他拥有了完美的妻子、幸福的家庭、可爱的女儿、推心置腹的好朋友不离不弃的文具盒。在这里，代表全体叮当祝文具盒的小文生日快乐！孜孜不倦，永爱小文！,1
【玩车趣闻】爱美的姑娘们，对着车窗整理妆容一直是件很二的事情，不是么。,0
【激情碰撞 红唇比基尼沙滩诱惑】宁静的空气里弥漫着海的味道，让这份午后的斜阳也变得奢华而尊贵，把她柔美的曲线勾勒得恰到好处。当激情碰撞梦想，一切，都变得妙不可言。,1
#周五综合症# #井冈山美景#美不美@穸玥 @陈同学和708四号床一起笑傲2013 @LittleJH @ling啊ling啊ling [挤眼]我不会告诉你第三张是第四版人民币后面的那个景色，没错没错，就是五指峰[浮云]~~[哈哈] 美的我可以直接拿来做桌面咯~~[太开心],1
【苹果或推两款4英寸内嵌式触控iPhone】据业内人士透露，苹果正计划在 2013 年内发布两款 4 英寸 iPhone，并且采用内嵌式触控技术。之前有报道表示，苹果将在 2013 年发布一款成本较低屏幕较大的 iPhone。但消息人士称，苹果确实在研发一个更大屏幕的 iPhone，但不会在今年发布。,0
动向：欧议会要调查美窃听计划（分享自“新华国际”客户端，Android版：http://t.cn/zlvCnMN，iPhone版：http://t.cn/zjqft0W）,0
河北霸占全国高温榜前十 多地气温超过40度(图) http://t.cn/zQhhWb6  （分享自 @新浪河北）,0
哇哦！Weico iPhone客户端的@可口可乐 主题皮肤太夏日摇滚了！说换成这个皮肤还可能得到全世界都买不到的Weico定制版#可口可乐昵称瓶#，还没换的赶紧呀！  iPhone版下载地址：http://t.cn/zOmTZK7,1
【原宿EVA官方店举办贞本义行画展】《YOUNG ACE》2013年7月号上，贞本义行连载了大约18年的漫画版《新世纪福音战士》终于画上了句号。为了纪念漫画版的完结，东京原宿的EVANGELION STORE TOKYO-01将举办一场贞本义行的复制原画展。画展时间为7月1日至8月31日，为期两个月。,0
《乔布斯的魔力演讲》：（美）加洛 著，徐臻真 译。本书首次汇集苹果公司创始人25年演讲精华，全面揭示“天才演说家”史蒂夫乔布斯的表达技巧，本书讲述的每个技巧对你都同样适用！本书三幕剧，展现乔布斯的表演魅力！本书三种修炼，让你与乔布斯看齐！,1
"我参与了@北青网娱乐 发起的投票【暑期档你最期待哪部剧？】，我投给了""《最美的时光》""这个选项。你也快来表态吧：http://t.cn/zHgZ5AV ",-1
我刚在爱音乐网站听了“心醉”这首歌，感觉不错，值得推荐。你也来试听下！@中国电信爱音乐 http://t.cn/zQhXkDU,1
我正在申请微博达人，微博达人不仅拥有专属的身份标识，炫酷的微博达人勋章，还可以结识更多跟你有共同兴趣爱好的朋友，获得更多粉丝，拥有更多知己，更可优先享受新浪微博各种线上线下达人活动带来的生活便利和优惠。你也来申请吧>> http://t.cn/ao0wkT,1
"【视频非诚勿扰 2011-11-19 工程师制航模飞向女嘉宾_高清在线观看_新浪大片_新浪网】非诚勿扰 2011-11-19 工程师制航模飞向女嘉宾,新浪大片《非诚勿扰》全集高清在线观看。导演:孟非;... http://t.cn/SLp1aZ（分享自 @新浪视频）",0
